"sid","gender_3cats","black","white","college","income_below_35k","walk_safety_own","imagepath","image1","imageName","weights","gender","var","value","varLabel","img","gptLabel"
12775,2,1,0,0,1,2,"https://joehigtom.com/Detroit_images/678566243932880_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/678566243932880_2.jpg","678566243932880_2.jpg",1.48412708383456,"Female","nb_image_wealth_rate_d20",2,"Neighborhood Wealth","678566243932880_2","Wealth"
12775,2,1,0,0,1,2,"https://joehigtom.com/Detroit_images/678566243932880_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/678566243932880_2.jpg","678566243932880_2.jpg",1.48412708383456,"Female","nb_image_tidiness_d20",3,"Disorder","678566243932880_2","Disorder"
12775,2,1,0,0,1,2,"https://joehigtom.com/Detroit_images/678566243932880_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/678566243932880_2.jpg","678566243932880_2.jpg",1.48412708383456,"Female","nb_image_walksafety_day_d20",1,"Safety - Daytime Walking","678566243932880_2","Safety - day"
12775,2,1,0,0,1,2,"https://joehigtom.com/Detroit_images/678566243932880_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/678566243932880_2.jpg","678566243932880_2.jpg",1.48412708383456,"Female","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","678566243932880_2","Safety - night"
12793,2,1,0,1,0,1,"https://joehigtom.com/Detroit_images/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.262102296794103,"Female","nb_image_wealth_rate_d20",2,"Neighborhood Wealth","258028249344107_1","Wealth"
12793,2,1,0,1,0,1,"https://joehigtom.com/Detroit_images/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.262102296794103,"Female","nb_image_tidiness_d20",3,"Disorder","258028249344107_1","Disorder"
12793,2,1,0,1,0,1,"https://joehigtom.com/Detroit_images/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.262102296794103,"Female","nb_image_walksafety_day_d20",2,"Safety - Daytime Walking","258028249344107_1","Safety - day"
12793,2,1,0,1,0,1,"https://joehigtom.com/Detroit_images/258028249344107_1.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/258028249344107_1.jpg","258028249344107_1.jpg",0.262102296794103,"Female","nb_image_walksafety_night_d20",1,"Safety - Nighttime Walking","258028249344107_1","Safety - night"
12796,3,1,0,1,1,2,"https://joehigtom.com/Detroit_images/452855432637365_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/452855432637365_2.jpg","452855432637365_2.jpg",0.529652392533175,NA,"nb_image_wealth_rate_d20",3,"Neighborhood Wealth","452855432637365_2","Wealth"
12796,3,1,0,1,1,2,"https://joehigtom.com/Detroit_images/452855432637365_2.jpg","https://storage.googleapis.com/streetview_project_public/Detroit_processed/452855432637365_2.jpg","452855432637365_2.jpg",0.529652392533175,NA,"nb_image_tidiness_d20",6,"Disorder","452855432637365_2","Disorder"
