image,image_order,varLabel,value
783879902487853_1.jpg,1,Neighborhood Wealth,5
783879902487853_1.jpg,1,Safety - Daytime Walking,4
783879902487853_1.jpg,1,Safety - Nighttime Walking,6
783879902487853_1.jpg,1,Disorder,5
312809550292736_2.jpg,2,Neighborhood Wealth,5
312809550292736_2.jpg,2,Safety - Daytime Walking,4
312809550292736_2.jpg,2,Safety - Nighttime Walking,7
312809550292736_2.jpg,2,Disorder,6
310226403908323_2.jpg,3,Neighborhood Wealth,6
310226403908323_2.jpg,3,Safety - Daytime Walking,4
310226403908323_2.jpg,3,Safety - Nighttime Walking,6
310226403908323_2.jpg,3,Disorder,5
570046564194463_1.jpg,4,Neighborhood Wealth,4
570046564194463_1.jpg,4,Safety - Daytime Walking,4
570046564194463_1.jpg,4,Safety - Nighttime Walking,6
570046564194463_1.jpg,4,Disorder,5
202754898360801_1.jpg,5,Neighborhood Wealth,8
202754898360801_1.jpg,5,Safety - Daytime Walking,4
202754898360801_1.jpg,5,Safety - Nighttime Walking,6
202754898360801_1.jpg,5,Disorder,5
737475547859706_2.jpg,6,Neighborhood Wealth,4
737475547859706_2.jpg,6,Safety - Daytime Walking,4
737475547859706_2.jpg,6,Safety - Nighttime Walking,6
737475547859706_2.jpg,6,Disorder,4
573075401599185_2.jpg,7,Neighborhood Wealth,5
573075401599185_2.jpg,7,Safety - Daytime Walking,5
573075401599185_2.jpg,7,Safety - Nighttime Walking,7
573075401599185_2.jpg,7,Disorder,5
876313143612569_1.jpg,8,Neighborhood Wealth,3
876313143612569_1.jpg,8,Safety - Daytime Walking,4
876313143612569_1.jpg,8,Safety - Nighttime Walking,6
876313143612569_1.jpg,8,Disorder,5
4048804368538788_1.jpg,9,Neighborhood Wealth,3
4048804368538788_1.jpg,9,Safety - Daytime Walking,4
4048804368538788_1.jpg,9,Safety - Nighttime Walking,6
4048804368538788_1.jpg,9,Disorder,5
2519137268236906_2.jpg,10,Neighborhood Wealth,4
2519137268236906_2.jpg,10,Safety - Daytime Walking,4
2519137268236906_2.jpg,10,Safety - Nighttime Walking,6
2519137268236906_2.jpg,10,Disorder,5
573075401599185_2.jpg,1,Neighborhood Wealth,5
737475547859706_2.jpg,6,Disorder,6
570046564194463_1.jpg,7,Neighborhood Wealth,9
570046564194463_1.jpg,7,Disorder,8
876313143612569_1.jpg,8,Neighborhood Wealth,8
876313143612569_1.jpg,8,Disorder,10
4048804368538788_1.jpg,9,Neighborhood Wealth,8
4048804368538788_1.jpg,9,Safety - Daytime Walking,9
4048804368538788_1.jpg,9,Safety - Nighttime Walking,9
4048804368538788_1.jpg,9,Disorder,9
312809550292736_2.jpg,10,Neighborhood Wealth,7
