ResponseId,image_id,varLabel,value
R_5PuzXmJXLoMa5uc,4097294446972645_1.jpg,Neighborhood Wealth,7
R_5PuzXmJXLoMa5uc,4097294446972645_1.jpg,Safety - Daytime Walking,9
R_5PuzXmJXLoMa5uc,4097294446972645_1.jpg,Safety - Nighttime Walking,7
R_5PuzXmJXLoMa5uc,4097294446972645_1.jpg,Disorder,2
R_5PuzXmJXLoMa5uc,288361506334043_2.jpg,Neighborhood Wealth,5
R_5PuzXmJXLoMa5uc,288361506334043_2.jpg,Safety - Daytime Walking,7
R_5PuzXmJXLoMa5uc,288361506334043_2.jpg,Safety - Nighttime Walking,6
R_5PuzXmJXLoMa5uc,288361506334043_2.jpg,Disorder,4
R_5PuzXmJXLoMa5uc,292352412531005_2.jpg,Neighborhood Wealth,3
R_5PuzXmJXLoMa5uc,292352412531005_2.jpg,Safety - Daytime Walking,6
R_5PuzXmJXLoMa5uc,292352412531005_2.jpg,Safety - Nighttime Walking,4
R_5PuzXmJXLoMa5uc,292352412531005_2.jpg,Disorder,2
R_5PuzXmJXLoMa5uc,3435709263423547_1.jpg,Neighborhood Wealth,6
R_5PuzXmJXLoMa5uc,3435709263423547_1.jpg,Safety - Daytime Walking,7
R_5PuzXmJXLoMa5uc,3435709263423547_1.jpg,Safety - Nighttime Walking,4
R_5PuzXmJXLoMa5uc,3435709263423547_1.jpg,Disorder,3
R_5PuzXmJXLoMa5uc,573075401599185_2.jpg,Neighborhood Wealth,10
R_5PuzXmJXLoMa5uc,573075401599185_2.jpg,Safety - Daytime Walking,10
R_5PuzXmJXLoMa5uc,573075401599185_2.jpg,Safety - Nighttime Walking,9
R_5PuzXmJXLoMa5uc,573075401599185_2.jpg,Disorder,NA
R_3EiizvrXOz6FKfF,519549283396849_2.jpg,Neighborhood Wealth,6
R_3EiizvrXOz6FKfF,519549283396849_2.jpg,Safety - Daytime Walking,8
R_3EiizvrXOz6FKfF,519549283396849_2.jpg,Safety - Nighttime Walking,7
R_3EiizvrXOz6FKfF,519549283396849_2.jpg,Disorder,7
R_3EiizvrXOz6FKfF,549371986057593_2.jpg,Neighborhood Wealth,5
R_3EiizvrXOz6FKfF,549371986057593_2.jpg,Safety - Daytime Walking,6
R_3EiizvrXOz6FKfF,549371986057593_2.jpg,Safety - Nighttime Walking,4
R_3EiizvrXOz6FKfF,549371986057593_2.jpg,Disorder,6
R_3EiizvrXOz6FKfF,708133306583556_2.jpg,Neighborhood Wealth,6
R_3EiizvrXOz6FKfF,708133306583556_2.jpg,Safety - Daytime Walking,7
